item,itemLabel,position,positionLabel,start,psid
Q109780542,Ahmadou Lamin Samateh,Q109780346,Minister of Health,2019-03-27,Q109780542-5B06801C-3044-4309-AF14-2F36C5185D00
Q109780626,Bakary Y. Badjie,Q109780627,Minister of Youth and Sports,2020-10-01,Q109780626-D629522C-2826-4D7B-8562-BFF4CD58283B
Q109780728,Seedy Keita,Q109780357,"Minister of Trade, Industry, Regional Integration and Employment",2020-11-02,Q109780728-F0C598E9-A3DA-47FF-827F-E6C7D62542D3
Q1572664,Hamat Bah,Q30601642,Minister of Tourism and Culture,2017-02-01,Q1572664-EB109805-3BDB-418D-A763-5D4579C3FED7
Q1888110,Mamadou Tangara,Q1407477,Minister of Foreign Affairs,2018-06-29,Q1888110-C0A1032E-317A-4727-81FA-D533DC50BD92
Q22006596,Mambury Njie,Q16149634,Minister of Finance,2018-06-29,Q22006596-4CE85D39-5556-4962-8F46-020A648037CD
Q2277755,Sheikh Omar Faye,Q109780312,Minister of Defence,2019-08-22,Q2277755-6B3B156E-6DF8-40FF-AE91-23DFA9BC7036
Q27541581,Isatou Touray,Q1533524,Vice President of the Gambia,2019-03-15,Q27541581-3a32240d-c6b7-41f2-80a0-55588e9073a5
Q28531806,Yankuba Sonko,Q30600272,Minister of the Interior,2019-08-22,Q28531806-AA8A937F-F642-42AF-88C0-567411252EEA
Q28836800,Claudiana Cole,Q109780400,Minister of Basic and Secondary Education,2017-02-22,Q28836800-864BA76A-8E58-4D49-85DC-BECC43CDB765
Q28837890,Ebrima Sillah,Q109780586,Minister of Information & Communication Infrastructure,2018-06-29,Q28837890-833423A9-2D0F-4BE5-902F-49AE21DA574F
Q28842314,James F. P. Gomez,Q109780567,Minister of Fisheries and Water Resources,2017-02-01,Q28842314-1C2257A8-B1D8-4680-AD96-38A14DEAE477
Q28843551,Lamin B. Dibba,Q109780558,"Minister of Environment, Climate Change and Natural Resources",2017-02-01,Q28843551-23FE4AE1-278A-401E-856C-AE4B7D0348DE
Q28843665,Bai Lamin Jobe,Q109780615,"Minister of Transport, Works and Infrastructure",2017-02-22,Q28843665-6CAE1897-704A-4F8C-879C-82067E5D2D9C
Q28843913,Badara Joof,Q109780389,"Minister of Higher Education, Research, Science and Technology",2017-02-22,Q28843913-57C5E9D6-9599-4DFC-87A0-F44A19D9F153
Q29437065,Fafa Sanyang,Q30612294,Minister of Energy and Petroleum,2017-04-10,Q29437065-6F3BE1CA-A3EB-4611-9C99-8D1A93814508
Q55286729,Musa Drammeh,Q109780595,"Minister of Lands, Regional Government and Religious Affairs",2018-06-29,Q55286729-D96C3E41-5780-45DE-99EF-CB9CB97CC175
Q61946976,Fatou Sanyang Kinteh,Q109780578,"Minister of Gender, Children and Social Welfare",2019-03-01,Q61946976-4DC0859D-5A6B-4E66-9BD3-E297A8F6D90D
Q62577118,Amie Fabureh,Q109780417,Minister of Agriculture,2019-03-27,Q62577118-E5D11BDC-3000-4746-9F73-599566F3DA47
Q96678255,Dawda A. Jallow,Q48807935,Minister of Justice,2020-07-01,Q96678255-B36B73B5-8C11-4AEA-B07C-344852A842B3
